#  LAT(N)   LON(E)   DEPTH   STEP  DOSE RATE  TOTAL DOSE
-46.8130  81.6668  238.028  348  6.3350E+00  2.3611E+01
-46.8324  81.8921  237.917  349  6.3402E+00  2.3716E+01
-46.8513  82.1176  237.806  350  6.3453E+00  2.3822E+01
-46.8698  82.3433  237.695  351  6.3504E+00  2.3928E+01
-46.8878  82.5691  237.584  352  6.3556E+00  2.4034E+01
-46.9055  82.7951  237.473  353  6.3606E+00  2.4140E+01
-46.9226  83.0212  237.362  354  6.3655E+00  2.4246E+01
-46.9393  83.2474  237.252  355  6.3698E+00  2.4352E+01
-46.9556  83.4738  237.141  356  6.3741E+00  2.4458E+01
-46.9714  83.7003  237.030  357  6.3783E+00  2.4565E+01
-46.9868  83.9270  236.920  358  6.3826E+00  2.4671E+01
-47.0017  84.1538  236.809  359  6.3871E+00  2.4778E+01
-47.0162  84.3807  236.699  360  6.3916E+00  2.4884E+01
-47.0302  84.6077  236.588  361  6.3962E+00  2.4991E+01
-47.0438  84.8349  236.478  362  6.4007E+00  2.5097E+01
-47.0569  85.0621  236.367  363  6.4052E+00  2.5204E+01
-47.0696  85.2895  236.257  364  6.4097E+00  2.5311E+01
-47.0818  85.5170  236.146  365  6.4142E+00  2.5418E+01
-47.0936  85.7446  236.036  366  6.4186E+00  2.5525E+01
-47.1049  85.9722  235.925  367  6.4231E+00  2.5632E+01
-47.1157  86.2000  235.814  368  6.4273E+00  2.5739E+01
-47.1262  86.4279  235.704  369  6.4315E+00  2.5846E+01
-47.1361  86.6558  235.593  370  6.4357E+00  2.5953E+01
-47.1456  86.8839  235.483  371  6.4398E+00  2.6061E+01
-47.1547  87.1120  235.372  372  6.4440E+00  2.6168E+01
-47.1633  87.3402  235.262  373  6.4481E+00  2.6276E+01
-47.1714  87.5684  235.151  374  6.4521E+00  2.6383E+01
-47.1791  87.7968  235.041  375  6.4562E+00  2.6491E+01
-47.1863  88.0252  234.931  376  6.4603E+00  2.6598E+01
-47.1931  88.2536  234.820  377  6.4646E+00  2.6706E+01
-47.1994  88.4821  234.710  378  6.4689E+00  2.6814E+01
-47.2053  88.7107  234.600  379  6.4732E+00  2.6922E+01
-47.2107  88.9393  234.490  380  6.4776E+00  2.7030E+01
-47.2156  89.1679  234.379  381  6.4816E+00  2.7138E+01
-47.2201  89.3966  234.269  382  6.4856E+00  2.7246E+01
-47.2241  89.6254  234.159  383  6.4896E+00  2.7354E+01
-47.2277  89.8541  234.049  384  6.4936E+00  2.7462E+01
-47.2308  90.0829  233.940  385  6.4976E+00  2.7571E+01
-47.2335  90.3117  233.830  386  6.5015E+00  2.7679E+01
-47.2357  90.5406  233.720  387  6.5055E+00  2.7787E+01
-47.2375  90.7694  233.610  388  6.5094E+00  2.7896E+01
-47.2388  90.9983  233.501  389  6.5134E+00  2.8004E+01
-47.2396  91.2272  233.391  390  6.5173E+00  2.8113E+01
-47.2400  91.4561  233.282  391  6.5212E+00  2.8222E+01
-47.2399  91.6849  233.172  392  6.5251E+00  2.8331E+01
-47.2394  91.9138  233.063  393  6.5290E+00  2.8439E+01
-47.2384  92.1427  232.954  394  6.5330E+00  2.8548E+01
-47.2369  92.3716  232.845  395  6.5369E+00  2.8657E+01
-47.2350  92.6004  232.735  396  6.5409E+00  2.8766E+01
-47.2327  92.8293  232.626  397  6.5448E+00  2.8875E+01
-47.2298  93.0581  232.517  398  6.5488E+00  2.8984E+01
-47.2266  93.2868  232.408  399  6.5527E+00  2.9094E+01
-47.2228  93.5156  232.299  400  6.5567E+00  2.9203E+01
-47.2186  93.7443  232.189  401  6.5607E+00  2.9312E+01
-47.2140  93.9730  232.080  402  6.5646E+00  2.9422E+01
-47.2089  94.2016  231.971  403  6.5685E+00  2.9531E+01
-47.2033  94.4302  231.862  404  6.5723E+00  2.9641E+01
-47.1973  94.6588  231.753  405  6.5761E+00  2.9750E+01
-47.1909  94.8873  231.644  406  6.5799E+00  2.9860E+01
-47.1839  95.1157  231.535  407  6.5837E+00  2.9970E+01
-47.1766  95.3441  231.425  408  6.5874E+00  3.0079E+01
-47.1687  95.5724  231.316  409  6.5912E+00  3.0189E+01
-47.1604  95.8006  231.207  410  6.5950E+00  3.0299E+01
-47.1517  96.0288  231.098  411  6.5987E+00  3.0409E+01
-47.1425  96.2569  230.989  412  6.6025E+00  3.0519E+01
-47.1328  96.4849  230.880  413  6.6063E+00  3.0629E+01
-47.1227  96.7128  230.771  414  6.6100E+00  3.0740E+01
-47.1122  96.9406  230.662  415  6.6137E+00  3.0850E+01
